識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間,folder
news_503510cf8b0b487db8e6a5f5fc048480,川普重返白宮「投資策略怎麼看？」　專家：股市終將反映基本面,財經新聞,2024-11-06 12:17:00+00:00,美國總統大選結果大致底定，代表共和黨角逐大選的美國前總統川普（Donald Trump）將於明年1月20日重掌白宮；另在國會方面，參議院已確定轉由共和黨掌控，而眾議院也由共和黨領先，預計拿到過半席次機率仍高，有機會形成「紅色浪潮」（Red Wave）。,https://finance.ettoday.net/news/2849977,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/13/2024 12:18:28,財經新聞
news_265603c1ffdac9ecaf27dd0c391d2da5,SCFI終止連八跌回升5.98%　歐洲線漲最多、台灣市場歐美線雙跌,財經新聞,2024-10-25 08:07:00+00:00,上海交易所今(25)日下午3點公布的貨櫃運價指數(SCFI)終止連八跌，報2185.33點，漲123.18點，漲幅5.97%，主要漲在跌深的歐洲與地中海航線，漲幅分別為14.15%與10.51%，顯現控艙減班成效，也有助推動11月1日調升運價計畫。不過本周台灣市場歐美線都有降價，顯示減班也讓各地艙位供給狀況不同，市場也變得混亂。,https://finance.ettoday.net/news/2842194,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/01/2024 12:23:27,財經新聞
news_1678ff1ba57b17de68ccb6962c51d32b,川普當選 台學者：美對台戰略清晰或模糊難預判,兩岸透視,2024-11-06 10:33:56+00:00,（中央社記者李雅雯台北6日電）川普將重新入主白宮。有台灣學者分析，川普對台戰略趨於清晰或模糊難預判，恐得視其任命官員才有觀察依據；川普要求台灣提升自我防衛能力，台灣將有加大軍事資源投入壓力。,https://www.cna.com.tw/news/acn/202411060358.aspx,中央通訊社,https://www.cna.com.tw/list/acn.aspx,11/13/2024 12:20:47,兩岸新聞
news_d9f5e53ec900524d105a1c4c168f575c,林佳龍：台納入美多邊戰略架構 盼日扮演更重要角色【專訪】,國內政治,2024-10-11 10:23:32+00:00,（中央社記者游凱翔、楊堯茹台北11日電）長年倡議「亞洲版北約」的日本首相石破茂上任，在地緣政治緊張之際，備受關注。外交部長林佳龍今天表示，石破茂近期開始參加各種國際活動，都透露出希望為日本發展走出一條制度性的解決方案，台灣會特別關注，也期待日本在印太地區、第一島鏈的和平扮演更重要角色。,https://www.cna.com.tw/news/aipl/202410110312.aspx,中央通訊社,https://www.cna.com.tw/list/aipl.aspx,10/18/2024 12:20:57,政治新聞
news_9379e7c509a32dba204e9dcd69f7b78e,川普炸薯條造勢惹議 麥當勞：公司無政治立場,國際焦點,2024-10-22 09:12:46+00:00,（中央社費城21日綜合外電報導）美國共和黨總統候選人川普20日在麥當勞公司（McDonald's Corp.）同意下化身分店員工，親自炸薯條和處理得來速訂單，替大選造勢。麥當勞今天強調，該公司未支持任何候選人。,https://www.cna.com.tw/news/aopl/202410220281.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,10/29/2024 12:21:24,國際新聞
news_baffa7177236be1853d9d6677a1e8b6f,對手從白男變亞非裔女 共和黨阻黨員發動歧視攻擊,國際焦點,2024-07-24 04:54:16+00:00,（中央社華盛頓23日綜合外電報導）美國民主黨在總統大選前3個多月陣前換將，共和黨領袖和川普競選團隊忙著調整選戰策略之餘，今天也警告黨員，切勿公然以種族和性別歧視言語來攻擊接替總統拜登出征的副總統賀錦麗。,https://www.cna.com.tw/news/aopl/202407240148.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,07/31/2024 12:19:37,國際新聞
news_02a35738475cfb7471f89d5493c885c6,CNN美選6大搖擺州民調：賀錦麗贏2州、川普1州領先,國際焦點,2024-09-04 17:57:47+00:00,（中央社華盛頓4日綜合外電報導）根據CNN最近民調，美國總統選舉6大搖擺州中，民主黨總統候選人賀錦麗目前在威斯康辛州及密西根州明顯領先，競選對手川普顯然在亞利桑那州占上風，其餘搖擺州沒有明顯領先者。,https://www.cna.com.tw/news/aopl/202409050005.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,09/12/2024 12:21:54,國際新聞
news_a1fd8df573fcb9946c6834e4e3763a89,川普稱賀錦麗若入主白宮 將被習近平當小孩欺負,國際焦點,2024-10-25 01:03:33+00:00,（中央社華盛頓24日綜合外電報導）美國前總統川普今天表示，若副總統賀錦麗贏得大選入主白宮，中國國家主席習近平將把她「當小孩一樣」修理。,https://www.cna.com.tw/news/aopl/202410250029.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,11/01/2024 12:23:57,國際新聞
news_5f740797060cb6a2e209f011077e784e,賀錦麗川普搖擺州造勢 近2500萬選民已提前投票,國際焦點,2024-10-24 08:21:26+00:00,（中央社費城/杜魯斯23日綜合外電報導）美國總統大選倒數不到半個月，佛羅里達大學選舉實驗室（Election Lab）的追蹤數據顯示，目前已有近2500萬選民透過親自投票或郵寄選票的方式提前投票。,https://www.cna.com.tw/news/aopl/202410240231.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,10/31/2024 12:21:47,國際新聞
news_d54283c201a503f66f5a0a93cda51cb9,賀錦麗對決川普選情熱 美關鍵搖擺州喬治亞提早投票首日票數創高,國際焦點,2024-10-16 03:20:37+00:00,（中央社亞特蘭大15日綜合外電報導）美國2024年大選11月5日登場，喬治亞州今天加入其他多州展開提早投票作業。官方數據顯示，這個關鍵搖擺州之一的提早投票首日已翻新紀錄，讓緊繃選情進一步發燒。,https://www.cna.com.tw/news/aopl/202410160073.aspx,中央通訊社,https://www.cna.com.tw/list/aopl.aspx,10/23/2024 12:46:02,國際新聞
