識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_4aef392b6945b15547d4b9307898b9de,石破茂倡議成立「亞洲版北約」 中國懷戒心,國際新聞,2024-09-27T09:40:26Z,"日本自民黨總裁選舉結果前幹事長石破茂勝選，成為自民黨第28任總裁，石破預計將獲國會指名成為第102任首相。他倡議成立「亞洲版北大西洋公約組織（NATO）」，中國對此懷戒心。

   石破...…",https://news.ltn.com.tw/news/world/breakingnews/4813140,自由時報,https://news.ltn.com.tw/list/breakingnews/world,10/04/2024 12:23:15
news_5a4b8d033be870f04968972e369b604c,川普前國安顧問：中國想輸出馬列主義 美國史上最大威脅,國際新聞,2024-09-27T10:34:11Z,"美國前總統川普執政時期國家安全顧問歐布萊恩（Robert O'Brien）今天表示，中國最終計劃是將「馬克思列寧主義」意識形態強加給世界其他國家，是美國史上前所未有的威脅。

美國之音（...…",https://news.ltn.com.tw/news/world/breakingnews/4813224,自由時報,https://news.ltn.com.tw/list/breakingnews/world,10/04/2024 12:23:15
news_3a5b765f2a89e46f195ecc4888d5a060,阿爾及利亞選手開告！　起訴書點名馬斯克、JK羅琳「網路霸凌」,國際新聞,2024-08-14T02:54:00Z,阿爾及利亞拳后克莉芙（Imane Khelif）在捲入性別風波後，仍在奧運女子拳擊66公斤級賽事一舉奪金，並在賽後透過律師表示，決定針對網路上的騷擾採取法律行動。她的律師透露，包含作家J. K.羅琳（J.K. Rowling）、特斯拉創辦人馬斯克（Elon Musk）等名人，都在起訴書中被點名。,https://www.ettoday.net/news/20240814/2796916.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,08/21/2024 12:23:29
news_9c084a6a230fe8d7396323642b750df8,「時代雙標」？川普遭窮追猛打 賀錦麗卻被捧上天,國際新聞,2024-08-14T05:05:21Z,美國主流媒體對民主黨總統候選人賀錦麗的追捧，引發保守派強烈不滿。《時代》雜誌（TIME）最新一期封面故事以賀錦麗為主角，並以「她的時刻」為題，文章中充滿溢美之詞，卻刻意忽略了她...…,https://news.ltn.com.tw/news/world/breakingnews/4768511,自由時報,https://news.ltn.com.tw/list/breakingnews/world,08/21/2024 12:23:29
news_86fd14dda13966615f764aeff2fc554e,前陪練員逆風喊「克莉芙是男的」！　女拳手驚爆有證據,國際新聞,2024-08-14T09:43:00Z,阿爾及利亞拳后伊曼．克莉芙（Imane Khelif）不畏性別爭議，在巴黎奧運奪金證明實力，賽後宣布將對網路霸凌採取法律行動。未料她的前陪練員出面爆料，指控克莉芙「就是男的」，還稱她手上握有每次和克莉芙對打的紀錄，堅持在克莉芙接受檢測證明自己是女性以前，不會改變立場。,https://www.ettoday.net/news/20240814/2797352.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,08/21/2024 12:23:29
news_e50465ab7e6927fccda213c5001f2d35,伊朗發死亡威脅 川普要求維安升級,國際新聞,2024-10-12T21:30:00Z,"〔編譯張沛元／綜合報導〕紐約時報十一日率先披露，根據四名知情人士，值此美國總統大選進入最後倒數計時階段，共和黨總統候選人、前總統川普的競選團隊，已與白宮以及負責總統維安的祕密勤務局就維安升級進行交涉，甚至要求使用能夠擊落地對空飛彈的軍機。
根據了解，川普陣營之所以提出此一罕見要求，除了川普此前已兩…",https://news.ltn.com.tw/news/world/paper/1671713,自由時報,https://news.ltn.com.tw/list/breakingnews/world,10/20/2024 12:21:34
news_2793efab0e8979ac5eb0d5f6bc88cc1a,賀錦麗公布體檢報告 譏諷川普年紀大,國際新聞,2024-10-12T21:30:00Z,選戰倒數關頭，美國民主黨總統候選人賀錦麗競選團隊12日向對手川普打出「健康牌」，主動公布59歲的賀錦麗的4月健檢報告，證明她健康狀況「極佳」，「擁有足以勝任總統職責的身體與心理韌性」。在81歲的總統拜登退出選戰後，78歲的前總統川普成為美國史上最年長的總統候選人。川普堅稱自己身體完全健康，但他並未因…,https://news.ltn.com.tw/news/world/paper/1671714,自由時報,https://news.ltn.com.tw/list/breakingnews/world,10/20/2024 12:21:34
news_401c4d7d9a97c7195fe71d383e7d2a97,北韓數千步兵在俄受訓 傳年底上前線,國際新聞,2024-10-12T21:30:00Z,〔編譯周虹汶／綜合報導〕美國「華盛頓郵報」十一日報導，俄羅斯總統普廷和北韓最高領導人金正恩六月簽署共同防禦協議，矢言在對方遭受攻擊時「立即提供軍事援助」以來，繼美國直指北韓已向俄國運送大量彈藥，南韓與烏國官員上週進一步指控北韓士兵正在地面支援俄軍且部分可能已傷亡，外界擔憂朝俄軍事合作恐已進入新階段。…,https://news.ltn.com.tw/news/world/paper/1671715,自由時報,https://news.ltn.com.tw/list/breakingnews/world,10/20/2024 12:21:34
news_ad92b8e78fd4e81581732abd1c61ec18,快訊／再躲死劫！　川普發聲了：我永遠不會投降,國際新聞,2024-09-16T00:25:00Z,美國共和黨總統候選人川普15日險在佛州高爾夫球場遭暗殺，槍手躲在場邊灌木叢行兇，但被特勤人員及時發現逮捕。川普2個月內躲過2次死劫，他也對外表示，「我永遠不會投降」。,https://www.ettoday.net/news/20240916/2817716.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,09/23/2024 12:22:03
news_2f9edcb08c591c52740c0393d5f86926,新聞360》川普勝選「大嗆中時代」來臨？他曝「這些事」將成台灣機會！,國際新聞,2024-11-06T11:08:48Z,"訂閱【自由追新聞】
全新的視界！新聞話題不漏接，快訂閱YouTube 【自由追新聞】，記得開啟小鈴鐺哦！…",https://news.ltn.com.tw/news/world/breakingnews/4854819,自由時報,https://news.ltn.com.tw/list/breakingnews/world,11/13/2024 12:20:15
